P_Arr_LU1,P_Arr_LU2,P_Arr_LU3,Lon,Lat,P_Arrival_code
0.338376124,0.644234354,0.017389522,126.9698854,37.58280281,1111051500
0.235769515,0.735523395,0.02870709,126.9705482,37.57433767,1111053000
0.492035146,0.507964854,0,127.0520694,37.59229094,1123071000
0.440939187,0.248257971,0.310802842,126.9159607,37.62460313,1138055100
0.089188043,0.910811957,0,126.9845118,37.56334984,1114055000
0.383887713,0.616112287,0,127.0266448,37.5115471,1168052100
0.323563966,0.316337165,0.36009887,126.9395079,37.56124386,1141058500
0.657206028,0.089138737,0.253655235,126.94331,37.58505368,1141062000
0.542790078,0.054843507,0.402366415,126.9665288,37.61011354,1111056000
0.732288974,0.098577867,0.16913316,126.8946386,37.58480862,1138065000
0,1,0,126.9960493,37.56649988,1114060500
0.074845238,0.925154762,0,126.9764211,37.55742253,1114054000
0.38152862,0.038079832,0.580391549,126.9614636,37.59858274,1111055000
0.504075622,0.188258064,0.307666314,126.9820099,37.58229865,1111054000
0.304942449,0.604417339,0.090640212,127.0391774,37.48849653,1168065500
0.592405137,0.099094088,0.308500775,126.9255977,37.62380065,1138053000
0.033183824,0.94204639,0.024769787,126.989494,37.57261845,1111061500
0.869429388,0.129766128,0.000804484,127.0136563,37.57239987,1111067000
0.77035608,0.077599644,0.152044276,126.9618532,37.50581801,1159060500
0.603742793,0.224552077,0.17170513,126.9265634,37.59926592,1138058000
0.27225432,0.72774568,0,126.9639686,37.5712017,1111058000
0.600791584,0.399208416,0,126.9417792,37.55227118,1144060000
0.891001772,0.075447055,0.033551173,126.9595331,37.56999856,1141052000
0.74049289,0.105729111,0.153777999,127.0019004,37.61011251,1129064000
0.636493845,0.302194997,0.061311158,126.9308051,37.60496115,1138051000
0.274292359,0.725707641,0,127.0592049,37.51388484,1168058000
0.867221905,0.131297316,0.001480779,127.0115294,37.58677443,1129055500
0.732625422,0.261660542,0.005714036,127.0736917,37.55356723,1121573000
0.592405137,0.099094088,0.308500775,126.9305107,37.61591516,1138052000
0.386146442,0.210208223,0.403645336,127.0165475,37.63111368,1130561000
0.176192505,0.627977193,0.195830302,127.0560848,37.53867556,1120067000
0.628526762,0.371473238,0,126.967094,37.54792875,1117055500
0.626395922,0.335768385,0.037835693,126.8654775,37.54485206,1147053000
0.68568223,0.31431777,0,127.0264335,37.58671608,1129060000
0.276068936,0.222000206,0.501930858,126.9309726,37.58500473,1141068500
0.484324883,0.515675117,0,126.9021984,37.53118936,1156056000
0.71172488,0.28827512,0,127.1017464,37.51733389,1171071000
0.481388033,0.498853775,0.019758192,127.0031106,37.57952249,1111064000
0.570524209,0.065533394,0.363942397,126.9986879,37.59446983,1129052500
0.62294312,0.286831142,0.090225738,127.1385428,37.54631545,1174060000
0.603742793,0.224552077,0.17170513,126.917731,37.5887124,1138060000
0.345573906,0.654426094,0,127.0358178,37.50098036,1168064000
0.58830501,0.225554627,0.186140363,126.873125,37.55149846,1150051000
0.559995192,0.412426801,0.027578007,126.9652621,37.55677692,1114068000
0.337795491,0.538027647,0.124176862,126.959112,37.57576124,1111057000
0.541148668,0.066181282,0.392670051,127.0216332,37.54680892,1120062000
0.491563223,0.40754431,0.100892467,126.9980903,37.58707694,1111065000
0.350114097,0.17897008,0.470915823,127.1535315,37.54998865,1174054000
0.166742061,0.074301797,0.758956143,126.9772352,37.47353628,1162063000
0.262678619,0.691261662,0.046059719,126.9257637,37.5248125,1156054000
0.350114097,0.17897008,0.470915823,127.1451757,37.54990932,1174053000
0.431137065,0.568862935,0,126.9493327,37.53895664,1144058500
0,1,0,126.9747267,37.56405189,1114052000
0.256824621,0.382605085,0.360570294,127.1429789,37.53902865,1174068500
0.593149752,0.406850248,0,127.0715166,37.57535915,1123066000
0.603742793,0.224552077,0.17170513,126.9211894,37.59325296,1138059000
0.461015484,0.210659048,0.328325468,126.9573857,37.47400309,1162058500
0.784201169,0.215798831,0,126.9864403,37.58171885,1111060000
0.560038305,0.438874083,0.001087612,126.9469204,37.5114125,1159051000
0.461015484,0.210659048,0.328325468,126.9449948,37.47917836,1162059500
0.580983609,0.216580089,0.202436302,126.9951146,37.48475895,1165060000
0.214590861,0.27494889,0.510460249,127.1436073,37.53125386,1174070000
0.62294312,0.286831142,0.090225738,127.1333629,37.54002448,1174062000
0.276068936,0.222000206,0.501930858,126.9472499,37.59856351,1141066000
0.731681372,0.186901301,0.081417327,127.0327619,37.61757839,1130554500
0.441783726,0.327023434,0.23119284,127.0096162,37.48657116,1165053000
0.657206028,0.089138737,0.253655235,126.9481563,37.59238111,1141064000
0.750224616,0.182109217,0.067666167,127.0133752,37.56523979,1114061500
0.408421115,0.283378855,0.30820003,126.9954601,37.55915332,1114057000
0.536125592,0.142846813,0.321027594,127.0270217,37.60858659,1129068500
0.339996466,0.088680582,0.571322952,126.9310504,37.57071394,1141061500
0.752811296,0.179282686,0.067906018,127.0214154,37.563973,1114065000
0.74049289,0.105729111,0.153777999,127.0080509,37.61446124,1129065000
0.386146442,0.210208223,0.403645336,127.012577,37.63927671,1130566000
0.343210244,0.656789756,0,126.9209516,37.55479226,1144066000
0.815856576,0.184143424,0,127.0184807,37.59367803,1129057500
0.491652169,0.078025191,0.43032264,127.0603198,37.64888443,1135069500
0.661695679,0.338304321,0,126.9523456,37.5523313,1144055500
0.87094519,0.12905481,0,126.9066112,37.57666869,1141071000
0.278589971,0.601209587,0.120200442,127.047511,37.52336937,1168056500
0.386146442,0.210208223,0.403645336,127.0233521,37.64041687,1130563000
0.892110342,0.107889658,0,126.9788256,37.54927981,1117051000
0.657206028,0.089138737,0.253655235,126.9492151,37.5856966,1141065500
0.562022444,0.437977556,0,126.9585082,37.54975109,1144056500
0.767742081,0.105772056,0.126485864,127.0104506,37.60432401,1129063000
0.199208258,0.247690821,0.553100921,127.0234609,37.52238224,1168051000
0.383887713,0.616112287,0,127.0362794,37.51506792,1168053100
0.345573906,0.654426094,0,127.0440657,37.49808704,1168065000
0.731681372,0.186901301,0.081417327,127.0255986,37.62814703,1130553500
0.805082547,0.194917453,0,126.9581798,37.56353154,1141056500
0.774591933,0.225408067,0,127.0315474,37.56554688,1120053500
0.138087381,0.858241545,0.003671075,127.0044755,37.57295535,1111063000
0.232071394,0.102501425,0.66542718,126.8878619,37.57870549,1144074000
0.284115818,0.311104412,0.40477977,127.0359356,37.55884981,1120056000
0.556025322,0.443974678,0,127.0324661,37.57581225,1123053600
0.63847146,0.36152854,0,126.9152562,37.60472953,1138062500
0.752811296,0.179282686,0.067906018,127.0148607,37.55723331,1114064500
0.01388218,0.011952224,0.974165597,126.9277959,37.64005175,1138069000
0.353044936,0.190892041,0.456063022,127.0921593,37.55006582,1121586000
0.912947268,0.087052732,0,127.0199099,37.55151711,1120061500
0.304068809,0.509540535,0.186390656,126.9654953,37.52944427,1117062500
0.384956441,0.524198942,0.090844618,127.1218031,37.50999998,1171056100
0.440939187,0.248257971,0.310802842,126.9136064,37.61718439,1138055200
0.491652169,0.078025191,0.43032264,127.0549207,37.67681767,1135063000
0.017454622,0.007331329,0.975214049,127.0822274,37.55248396,1121578000
0.218901061,0.503861995,0.277236944,127.0198194,37.49876948,1165053100
0.353044936,0.190892041,0.456063022,127.0861083,37.54139035,1121585000
0.226817274,0.332552519,0.440630207,127.0839886,37.59416976,1126059000
0.065792166,0.190561636,0.743646198,127.0423001,37.46784527,1165065200
0.159123816,0.147014249,0.693861936,127.0015797,37.49867538,1165058100
0.869429388,0.129766128,0.000804484,127.0104318,37.57572217,1111068000
0.159123816,0.147014249,0.693861936,127.0183777,37.50619275,1165056000
0.496739185,0.064752442,0.438508373,127.0588013,37.62084096,1135056000
0.86963924,0.13036076,0,127.0202106,37.60791312,1129066000
0.199208258,0.247690821,0.553100921,127.0338116,37.52644044,1168054500
0.590950873,0.409049127,0,127.0589841,37.49402447,1168060000
0.02340335,0.97659665,0,127.0025403,37.56475418,1114059000
0.34760054,0.567784329,0.084615131,126.9071252,37.52134391,1156053500
0.95427492,0.04572508,0,127.0140785,37.54390032,1120064500
0.203283573,0.796716427,0,126.9735934,37.54632352,1117053000
0.385570331,0.488830537,0.125599132,127.0651948,37.53696039,1121584700
0.176192505,0.627977193,0.195830302,127.0580669,37.54549033,1120069000
0.626395922,0.335768385,0.037835693,126.8726768,37.5437142,1147052000
0.278445055,0.395968781,0.325586164,127.0582411,37.55946809,1120079000
0.540448102,0.023134535,0.436417363,127.0834892,37.50681428,1171065000
0.752811296,0.179282686,0.067906018,127.0083739,37.55503043,1114062500
0.500872853,0.499127147,0,126.9230698,37.61222856,1138057000
0.78293717,0.21706283,0,126.9848285,37.54404939,1117052000
0.362581419,0.637418581,0,127.0377235,37.58370831,1123054500
0.50025808,0.49974192,0,126.881498,37.49597373,1153053000
0.381896187,0.180450034,0.43765378,127.1303175,37.4955515,1171063200
0.855166001,0.143510662,0.001323337,127.1259691,37.4879742,1171064100
0.221013112,0.318113574,0.460873314,127.0326534,37.47572835,1165065100
0.894028919,0.105971081,0,127.0127505,37.5974923,1129059000
0.690029155,0.302432084,0.007538761,126.9108673,37.51351679,1156051500
0.309831845,0.304633757,0.385534398,127.0450317,37.55889267,1120055000
0.50025808,0.49974192,0,126.8947602,37.48471447,1153054000
0.087950649,0.058289077,0.853760274,127.0305197,37.63769163,1130559000
0.492019544,0.507980456,0,127.1025017,37.50276547,1171060000
0.637372492,0.331065637,0.031561872,126.9911917,37.53947152,1117066000
0.635280481,0.164684106,0.200035413,126.9730041,37.48745091,1159064000
0.580983609,0.216580089,0.202436302,126.987593,37.49456302,1165059000
0.496739185,0.064752442,0.438508373,127.0519935,37.63188408,1135057000
0.414039538,0.087541232,0.49841923,126.9745392,37.51946054,1117063000
0.629468912,0.174143383,0.196387705,127.01964,37.65292852,1132066000
0.491652169,0.078025191,0.43032264,127.0670513,37.65707284,1135064000
0.422014963,0.242074738,0.335910299,127.0788488,37.5895869,1126052000
0.692676344,0.307323656,0,126.9065212,37.50637545,1156065000
0.869429388,0.129766128,0.000804484,127.013413,37.57845832,1111069000
0.346766818,0.653233182,0,127.0202826,37.57470623,1111071000
0.580983609,0.216580089,0.202436302,126.9905336,37.48985252,1165062100
0.483671086,0.145951687,0.370377227,127.0444351,37.60437124,1129072500
0.356961557,0.089535904,0.553502538,126.9329805,37.48050964,1162064500
0.626395922,0.335768385,0.037835693,126.8742354,37.5272951,1147051000
0.437362933,0.231462021,0.331175046,127.0043617,37.55854768,1114058000
0.776905246,0.223094754,0,126.9263034,37.54874382,1144065500
0.583235809,0.079964709,0.336799482,127.0659855,37.64331109,1135062500
0.525138098,0.121631645,0.353230258,127.0454167,37.58707609,1123070500
0.652988478,0.109488393,0.23752313,127.0347636,37.59754024,1129070500
0.187891893,0.81069387,0.001414238,126.8927544,37.51599643,1156060500
0.764622293,0.235377707,0,127.0512768,37.57948817,1123056000
0.343566844,0.656433156,0,126.884951,37.47660468,1154551000
0.491652169,0.078025191,0.43032264,127.08025,37.67013826,1135066500
0.426701393,0.573298607,0,127.020759,37.56838242,1114067000
0.637372492,0.331065637,0.031561872,126.9932686,37.53370232,1117065000
0.411854832,0.136694683,0.451450485,126.847463,37.51516182,1147064000
0.894028919,0.105971081,0,127.0236884,37.60002526,1129058000
0.491652169,0.078025191,0.43032264,127.0583948,37.6603837,1135072000
0.678535658,0.180306527,0.141157815,127.0740094,37.62368177,1135059500
0.629468912,0.174143383,0.196387705,127.0309232,37.6479829,1132068000
0.356961557,0.089535904,0.553502538,126.9441344,37.46429453,1162073500
0.698940405,0.301059595,0,126.9276328,37.50551708,1159066000
0.645888427,0.351322739,0.002788834,127.0192835,37.58269254,1129061000
0.62294312,0.286831142,0.090225738,127.1266421,37.54400108,1174061000
0.752811296,0.179282686,0.067906018,127.0110352,37.55167304,1114063500
0.480213433,0.144940048,0.37484652,127.0354327,37.6073181,1129071500
0.583235809,0.079964709,0.336799482,127.0832087,37.64659364,1135061900
0.590950873,0.409049127,0,127.0642212,37.50195786,1168061000
0.675927601,0.111346052,0.212726346,127.040568,37.64818161,1132051100
0.826970553,0.155947312,0.017082136,127.1345066,37.50402443,1171057000
0.675927601,0.111346052,0.212726346,127.0426139,37.6555749,1132051500
0.378843916,0.621156084,0,127.0716491,37.5438699,1121571000
0.655206782,0.22590496,0.118888258,126.8277363,37.55142598,1150061100
0.346766818,0.653233182,0,127.0168656,37.57702178,1111070000
0.231925692,0.008976249,0.759098059,126.991452,37.52268008,1117069000
0.767722629,0.221663694,0.010613677,127.0606473,37.59769545,1123074000
0.764622293,0.235377707,0,127.0605411,37.58057569,1123057000
0.226817274,0.332552519,0.440630207,127.0891889,37.60070714,1126058000
0.496673449,0.382880459,0.120446091,127.0468382,37.54095338,1120065000
0.329871776,0.661308592,0.008819633,127.004465,37.53525907,1117068500
0.993001801,0.006998199,0,127.0325977,37.55143803,1120058000
0.218901061,0.503861995,0.277236944,127.0192544,37.48836731,1165051000
0.850302714,0.149697286,0,127.0283307,37.56173433,1120052000
0.81881173,0.18118827,0,126.9590077,37.53785558,1117059000
0.297064134,0.702935866,0,126.8876309,37.52455398,1156061000
0.62516711,0.15163859,0.2231943,126.9791784,37.49217321,1159063000
0.436984051,0.330366317,0.232649632,126.8460244,37.56108502,1150053500
0.274292359,0.725707641,0,127.0487844,37.51206461,1168059000
0.304942449,0.604417339,0.090640212,127.0484676,37.4873207,1168065600
0.422014963,0.242074738,0.335910299,127.0896834,37.58829547,1126056500
0.648917358,0.333912524,0.017170118,126.9052813,37.50073316,1156067000
0.411854832,0.136694683,0.451450485,126.8574173,37.52526466,1147065000
0.752811296,0.179282686,0.067906018,127.0182348,37.56152867,1114066500
0.442577249,0.077182358,0.480240394,127.0418182,37.68045872,1132052100
0.315676672,0.581642362,0.102680966,126.9042918,37.56796739,1144073000
0.432993623,0.291136165,0.275870212,126.9067287,37.58417403,1138064000
0.200791421,0.160173799,0.63903478,127.0824887,37.56789194,1121576000
0.484365733,0.134869277,0.38076499,126.9106183,37.59865139,1138063100
0.50025808,0.49974192,0,126.8879989,37.50154782,1153056000
